Llamado,Link,Dependencia,Recepcion,Publicacion,Descripcion,Matchea_Keywords
Licitación Abreviada 6/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/883993,Administración de Servicios de Salud del Estado | Centro Auxiliar de Young,26/08/2021 12:00hs,03/08/2021 12:55hs,CONTRATACIÓN DE SUMINISTRO DE PASAJES INTERDEPARTAMENTALES PARA EL HOSPITAL DE YOUNG,Falso
Licitación Abreviada 6/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/885912,Banco Hipotecario del Uruguay | Banco Hipotecario del Uruguay,26/08/2021 15:00hs,03/08/2021 17:45hs,Servicio de limpieza integral en el Edificio Sede Casa Central del BHU y en los locales de las Sucursales en el interior del país.,Falso
Licitación Pública 37/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/885870,UCC - ASSE,27/08/2021 10:00hs,03/08/2021 15:55hs,¿Suministro de hasta 18.000 Tratamientos anuales compuestos de Efavirenz 600 mg/Emtricitabina 200 mg/Tenofovir 300 mg¿,Falso
Licitación Pública 1/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/879407,Universidad de la República | Facultad de Arquitectura,27/08/2021 10:00hs,03/08/2021 17:15hs,Contratar Servicio Integral de limpieza para locales dependientes de la Facultad de Arquitectura; Diseño y Urbanismo - FADU - UDELAR,Falso
Licitación Abreviada Y54116/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/i335799,Administración Nacional de Usinas y Trasmisiones Eléctricas | Administración Nacional de Usinas y Trasmisiones Eléctricas,27/08/2021 11:00hs,03/08/2021 17:30hs,Sum. de Repuestos para Unidades Centrales de Procesamiento,Falso
Licitación Abreviada 393142/1/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/i335814,Intendencia de Montevideo | Intendencia de Montevideo,27/08/2021 14:00hs,03/08/2021 00:00hs,EJECUCION DE LA OBRA DE REFUERZO EN MURO DE CONTENCION SOBRE LA CALLE PAVON USINA 3,Falso
Licitación Abreviada 22100/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/i335869,Administración de las Obras Sanitarias del Estado | Administración de las Obras Sanitarias del Estado,30/08/2021 11:00hs,03/08/2021 23:00hs,Servicio de Toma de Lecturas y Distribución de Notificaciones en todas las zonas y/o Localidades del Departamento de Maldonado donde presta servicios la Unidad de Gestión Desconcentrada de OSE.-,Falso
Licitación Abreviada 9/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/884453,Ministerio de Economía y Finanzas | Dirección General Impositiva,30/08/2021 11:00hs,03/08/2021 16:45hs,Mantenimiento firewalls externos Sonicwall,Falso
PFI - Licitación pública nacional 41/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/885666,Intendencia de Maldonado | Intendencia de Maldonado,03/09/2021 11:00hs,03/08/2021 10:40hs,Ejecución de obras de pavimentación del Camino Medellín.,Verdadero
Licitación Pública 393519/1/2021,https://www.comprasestatales.gub.uy/consultas/detalle/mostrar-llamado/1/id/i335812,Intendencia de Montevideo | Intendencia de Montevideo,01/11/2021 14:00hs,03/08/2021 00:00hs,"REALIZACIÓN DE TRABAJOS DE LIMPIEZA DE CURSOS DE AGUA EN EL ARROYO MIGUELETE Y AFLUENTE PARA LA INTENDENCIA DE MONTEVIDEO";,Falso
